Course name							University	Season		Year	Site Link							YouTube Link											SPI Link
COP-3402 Systems Software (Instructor of Record)		UCF		Spring		2026	https://www.cs.ucf.edu/~pappas/teaching/cop3402/spr2026/	https://youtube.com/playlist?list=PLEVrbB1AjxeX9qhORoz1lOEAxviEvBXA-&si=ZuYgxNRbGM3u-gk_	None
COP-3402 Systems Software (Graduate Teaching Assistant)		UCF		Fall, Spring	2026	None								None												https://docs.google.com/spreadsheets/d/1EjWH-YXkb-_Eu4IdX0wat7OVKp5OswKjpEf29zrua80/edit?usp=sharing
